Subject,Description,Section,Days,Start_Time,End_Time,Room (Capacity),Enrollment_Cap,Instructor,Session,Units
FNCE,FNCE 440 - Financial Decisions Modeling and Analytics,*100-LEC(1477),"Mon,Wed",1:30PM,2:45PM,PBL 501,44 (49),"Krishnan,C N V",Regular,3
BAFI,BAFI 480 - Global Banking & Capital Markets,*100-LEC(1275),Wed,3:00PM,5:45PM,PBL 202,12 (62),"Balasubramanyan,Lakshmi",Regular,3
FNCE,FNCE 480 - Global Banking & Capital Markets,*100-LEC(1397),Wed,3:00PM,5:45PM,PBL 202,50 (62),"Balasubramanyan,Lakshmi",Regular,3
BLAW,BLAW 331 - Legal Environment of Management,100-LEC(10218),"Mon,Wed",12:45PM,2:00PM,PBL 258,35.0,"Fogarty,Timothy J",,3.0
BLAW,BLAW 417 - Legal Environment of Management,*100-LEC(1405),"Mon,Wed",12:45PM,2:00PM,PBL 258,15   49,"Fogarty,Timothy J",Regular,3
BTEC,BTEC 420 - Introduction to Programming for Business Applications,*101-LEC(1493),Mon,6:00PM,8:30PM,PBL 106 per Laura W. 12/3/25; PBL 401,25 (50),"Stanek,David A",Regular,3
DESN,DESN 210 - Introduction to Programming for Business Applications,*101-LEC(1364),Mon,6:00PM,8:30PM,PBL 106 per Laura W. 12/3/25; PBL 401,25 (50),"Stanek,David A",Regular,3
BTEC,BTEC 420 - Introduction to Programming for Business Applications,*102-LEC(1522),"Mon,Wed",3:20PM,4:35PM,PBL 106,"7 (50)
10 (50)","Jung,Miyeon",Regular,3
DESN,DESN 210 - Introduction to Programming for Business Applications,*102-LEC(1511),"Mon,Wed",3:20PM,4:35PM,PBL 106,"43 (50)  
40 (50)","Jung,Miyeon",Regular,3
BUAI,BUAI 407A - Managerial Marketing I,*100-LEC(1419),Mon,9:00AM,11:45AM,PBL 501,49,"Binkowski, Kris
Brock,Juergen",Dyn Dt,1.5
BUAI,BUAI 407B - Managerial Marketing II,*100-LEC(1420),Mon,9:00AM,11:45AM,PBL 501,49,"Binkowski, Kris
Brock,Juergen",Dyn Dt,1.5
,BUAI 410 - Accounting and Financial Management,,Wed,6:00PM,8:30PM,PBL 106,,"Rausche, Amra",,3.0
